age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,previous,poutcome,y
49,blue-collar,married,basic.9y,unknown,no,no,cellular,nov,wed,227,0,nonexistent,no
37,entrepreneur,married,university.degree,no,no,no,telephone,nov,wed,202,1,failure,no
78,retired,married,basic.4y,no,no,no,cellular,jul,mon,1148,0,nonexistent,yes
36,admin.,married,university.degree,no,yes,no,telephone,may,mon,120,0,nonexistent,no
59,retired,divorced,university.degree,no,no,no,cellular,jun,tue,368,0,nonexistent,no
29,admin.,single,university.degree,no,no,no,cellular,aug,wed,256,0,nonexistent,no
26,student,single,basic.9y,no,no,no,telephone,aug,wed,449,0,nonexistent,yes
30,blue-collar,married,basic.4y,no,yes,no,cellular,nov,wed,126,0,nonexistent,no
50,blue-collar,married,basic.4y,unknown,no,no,telephone,may,fri,574,0,nonexistent,no
33,admin.,single,high.school,no,yes,no,cellular,jul,tue,498,0,nonexistent,no
44,services,divorced,high.school,no,yes,no,cellular,jul,mon,158,0,nonexistent,no
32,technician,married,university.degree,no,yes,no,telephone,may,fri,93,0,nonexistent,no
26,self-employed,single,professional.course,no,yes,no,cellular,jul,thu,71,0,nonexistent,no
43,management,married,university.degree,no,no,yes,telephone,jul,thu,203,0,nonexistent,no
56,blue-collar,married,basic.9y,no,no,no,cellular,may,thu,369,0,nonexistent,no
40,blue-collar,married,basic.9y,no,yes,no,cellular,may,wed,954,0,nonexistent,yes
32,admin.,divorced,university.degree,no,yes,no,cellular,aug,tue,105,0,nonexistent,no
47,technician,single,professional.course,unknown,no,no,telephone,may,tue,148,0,nonexistent,no
50,services,single,basic.4y,no,yes,no,telephone,may,tue,98,0,nonexistent,no
34,admin.,single,university.degree,no,no,yes,cellular,mar,tue,288,1,success,yes
46,services,married,unknown,no,no,no,cellular,aug,tue,177,0,nonexistent,no
39,blue-collar,married,basic.4y,no,no,no,cellular,may,thu,155,0,nonexistent,no
41,admin.,divorced,basic.6y,no,no,no,telephone,jul,mon,141,0,nonexistent,no
30,technician,single,unknown,no,yes,no,telephone,may,mon,144,0,nonexistent,no
55,unemployed,divorced,university.degree,no,no,no,cellular,mar,tue,212,3,success,yes
